index,feature_name,variance,mean,std,unique_values,min,max,is_constant
0,sentiment_slope,0.020485094206122448,0.16316714285714284,0.14312614787704742,291,-0.099,0.39649999999999996,False
1,sentiment_volatility,3.062044876865958e-05,0.0012530157619821366,0.005533574682667577,84,0.0,0.1,False
2,avg_politeness,0.0047196016715546855,0.0315858478589571,0.06869935714076723,18,0.0,0.3333333333333333,False
3,politeness_decline,0.06455641888636937,0.5006539682539682,0.25407955227914225,40,0.0,0.9333333333333333,False
4,avg_confusion,0.0023336519409459283,0.012177326175225335,0.04830788694349949,16,0.0,0.5,False
5,avg_negation,0.0043635420775217666,0.011232275366286865,0.0660571122402559,17,0.0,1.0,False
6,avg_caps,0.038926438534013806,0.06289440168910942,0.19729784219299967,256,0.0,3.333333333333333,False
7,avg_exclamation,0.3688244897959183,0.4657142857142857,0.6073092209047367,3,0.0,2.0,False
8,total_turns,0.0667124058599069,2.640794791399737,0.25828744812690163,220,2.1092857142857144,3.5,False
9,avg_turn_length,34.97358367346939,10.588571428571429,5.913846774601908,29,1.0,30.0,False
10,repeated_turns,0.002173231822954803,0.025489048753324556,0.04661793456337167,28,0.0,0.25925925925925924,False
11,corrections,0.02233469387755102,0.022857142857142857,0.1494479637785374,2,0.0,1.0,False
12,escalation_requests,0.041020408163265305,0.04285714285714286,0.20253495541082608,2,0.0,1.0,False
13,negative_feedback,0.00381178947209852,0.022203172382499872,0.06173969122127612,84,0.0,1.0,False
14,avg_urgency,0.0013313175274165944,0.012878646092901305,0.036487224167050504,23,0.0,0.25,False
15,urgency_increase,0.011127801020408163,0.06435714285714286,0.10548839282313559,20,0.0,0.5,False
16,task_complexity,0.008395987694282082,0.03618313843372408,0.09162962236243301,28,0.0,1.0,False
17,emotion_drift,2.8489795918367337e-05,0.00028571428571428574,0.0053375833406484,2,0.0,0.1,False
18,emotion_volatility,0.0007655112192164894,0.006265078809910682,0.027667873413337887,84,0.0,0.5,False
19,response_clarity,0.008395987694282082,0.9638168615662759,0.09162962236243301,28,0.0,1.0,False
20,response_relevance,0.002333651940945928,0.9878226738247747,0.04830788694349948,16,0.5,1.0,False
21,trust_decline,5.814244064972923e-05,0.0004081632653061224,0.007625119058069141,2,0.0,0.14285714285714285,False
